epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2917768657207489,0.0010000000474974513,1.6781343221664429,0.28913000226020813,1.342392921447754
1,0.3282961845397949,0.0010000000474974513,1.3984018564224243,0.38497087359428406,1.3329435586929321
2,0.4149981141090393,0.0010000000474974513,1.2456272840499878,0.5224030613899231,1.0669643878936768
3,0.5231079459190369,0.0010000000474974513,1.087950348854065,0.6483825445175171,0.8595162034034729
4,0.5732905268669128,0.0010000000474974513,0.9916554093360901,0.675909161567688,0.785061240196228
5,0.6053393483161926,0.0010000000474974513,0.9356116652488708,0.6795257925987244,0.7697485089302063
6,0.6225286722183228,0.0010000000474974513,0.8972741961479187,0.6409483551979065,0.8864602446556091
7,0.6436216831207275,0.0010000000474974513,0.86130690574646,0.7152903079986572,0.7137340307235718
8,0.6572220325469971,0.0010000000474974513,0.8412212133407593,0.7138838768005371,0.7154511213302612
9,0.6647147536277771,0.0010000000474974513,0.8226779103279114,0.7239300608634949,0.679036021232605
10,0.6739075779914856,0.0010000000474974513,0.8077767491340637,0.6765119433403015,0.7818041443824768
11,0.6784409880638123,0.0010000000474974513,0.797235906124115,0.7377938628196716,0.6616570353507996
12,0.6786928772926331,0.0010000000474974513,0.7950966358184814,0.7044404149055481,0.7051334977149963
13,0.6876338124275208,0.0010000000474974513,0.7804968953132629,0.7424151301383972,0.6489256620407104
14,0.6933635473251343,0.0010000000474974513,0.7675544619560242,0.7251356244087219,0.6797066330909729
15,0.6980229020118713,0.0010000000474974513,0.759959876537323,0.7289531826972961,0.6864617466926575
16,0.7015489339828491,0.0010000000474974513,0.748995304107666,0.7379947900772095,0.6433370113372803
17,0.7065860629081726,0.0010000000474974513,0.7457971572875977,0.7211171388626099,0.7222076654434204
18,0.7092306017875671,0.0010000000474974513,0.7379339337348938,0.7516576051712036,0.625832200050354
19,0.7050749063491821,0.0010000000474974513,0.7400370240211487,0.7158930897712708,0.7022272944450378
20,0.7122528553009033,0.0010000000474974513,0.7307896614074707,0.746835470199585,0.653586745262146
21,0.7155269980430603,0.0010000000474974513,0.7207790017127991,0.744223415851593,0.6500357985496521
22,0.7188011407852173,0.0010000000474974513,0.7197659611701965,0.7526622414588928,0.6333823800086975
23,0.7142677307128906,0.0010000000474974513,0.7204742431640625,0.7540687322616577,0.65434730052948
24,0.7342904210090637,0.00020000000949949026,0.6796175837516785,0.765923261642456,0.5979794859886169
25,0.7346681952476501,0.00020000000949949026,0.6768066883087158,0.7651195526123047,0.5987153649330139
26,0.7376275062561035,0.00020000000949949026,0.6688518524169922,0.7679324746131897,0.5972811579704285
27,0.7405868172645569,0.00020000000949949026,0.659879744052887,0.7643158435821533,0.6062126159667969
28,0.7419090867042542,0.00020000000949949026,0.6608021855354309,0.7711472511291504,0.5798895359039307
29,0.7434831857681274,0.00020000000949949026,0.65241938829422,0.7711472511291504,0.588309645652771
30,0.7461906671524048,0.00020000000949949026,0.6556322574615479,0.7629094123840332,0.6064395308494568
31,0.7464424967765808,0.00020000000949949026,0.6489225029945374,0.7715491056442261,0.5922627449035645
32,0.7509759664535522,0.00020000000949949026,0.6456660032272339,0.7691380381584167,0.591688334941864
33,0.7500314712524414,0.00020000000949949026,0.642234206199646,0.7813944220542908,0.5842812061309814
34,0.7483314275741577,4.0000002627493814e-05,0.6410884261131287,0.7759694457054138,0.5828399658203125
35,0.7509759664535522,4.0000002627493814e-05,0.6413381695747375,0.772955596446991,0.582959771156311
